"id","title","description","product_type","link","image_link","condition","availability","price","sale_price","sale_price_effective_date","brand"
"960","Apple Watch Series 3 Steel + LTE 42mm Hàng Trưng Bày","apple watch series 3 steel + lte 42mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-42mm-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-gps-steel-black-99-slide-1.jpg","new","in stock","13990000","","","Apple Watch Hàng Trưng Bày"
"960","Apple Watch Series 3 Steel + LTE 42mm Hàng Trưng Bày","apple watch series 3 steel + lte 42mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-42mm-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-gps-steel-black-99-slide-1.jpg","new","in stock","13990000","","","Apple Watch Hàng Trưng Bày"
"961","Apple Watch Series 3 GPS + Cellular 38mm, Space Black Stainless Steel Case with Space Black Milanese Loop - MR1H2","apple watch series 3 gps + cellular 38mm, space black stainless steel case with space black milanese loop - mr1h2","Product","https://www.vietanhmobile.com/apple-watch-series-3-gps-cellular-38mm-space-black-stainless-steel-case-with-space-black-milanese-loop-mr1h2.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-gps-steel-38mm-black-100-slide-1.jpg","new","in stock","20390000","","","Apple Watch Steel Series 3"
"961","Apple Watch Series 3 GPS + Cellular 38mm, Space Black Stainless Steel Case with Space Black Milanese Loop - MR1H2","apple watch series 3 gps + cellular 38mm, space black stainless steel case with space black milanese loop - mr1h2","Product","https://www.vietanhmobile.com/apple-watch-series-3-gps-cellular-38mm-space-black-stainless-steel-case-with-space-black-milanese-loop-mr1h2.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-gps-steel-38mm-black-100-slide-1.jpg","new","in stock","20390000","","","Apple Watch Steel Series 3"
"962","Apple Watch Series 3 Steel + LTE 38mm Hàng Trưng Bày","apple watch series 3 steel + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-38mm-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-gps-steel-38mm-black-99-slide-1-1.jpg","new","in stock","13990000","","","Apple Watch Hàng Trưng Bày"
"962","Apple Watch Series 3 Steel + LTE 38mm Hàng Trưng Bày","apple watch series 3 steel + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-38mm-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-gps-steel-38mm-black-99-slide-1-1.jpg","new","in stock","13990000","","","Apple Watch Hàng Trưng Bày"
"757","iPhone 6S Quốc Tế Hàng Trưng Bày","iphone 6s quốc tế hàng trưng bày giá tốt","Product","https://www.vietanhmobile.com/iphone-6s-quoc-te-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/iphone-6s-quoc-te-likenew-99-slide-1.jpg","new","in stock","5790000","","","Iphone 6S"
"963","Samsung S9 Plus Công Ty Hàng Trưng Bày","samsung s9 plus công ty hàng trưng bày","Product","https://www.vietanhmobile.com/samsung-s9-plus-cong-ty-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/562 x 340-h1963.png","new","out of stock","13490000","","","Samsung S9 Plus"
"963","Samsung S9 Plus Công Ty Hàng Trưng Bày","samsung s9 plus công ty hàng trưng bày","Product","https://www.vietanhmobile.com/samsung-s9-plus-cong-ty-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/562 x 340-h1963.png","new","out of stock","13490000","","","Samsung S9 Plus"
"964","Samsung S9 Plus Xách Tay Hàng Trưng Bày","samsung s9 plus xách tay hàng trưng bày","Product","https://www.vietanhmobile.com/samsung-s9-plus-xach-tay-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/562 x 340.png","new","out of stock","12490000","","","Samsung S9 Plus"
