"id","title","description","link","image link","condition","availability","price","brand","google product category"
"146","Miếng dán cường lực cho iphone 4S chính hãng","miếng dán cường lực cho iphone 4s chính hãng","http://www.vietanhmobile.com/mieng-dan-cuong-luc-cho-iphone-4s-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Miếng-dán-cường-lực-cho-iphone-4-chính-hãng-main.jpg","new","out of stock","1000 VND","Phụ kiện iphone 4S",""
"147","Tai nghe apple cho iPhone 4S","tai nghe apple cho iphone 4s","http://www.vietanhmobile.com/tai-nghe-apple-cho-iphone-4s.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-apple-iphone-6-plus-main.jpg","new","out of stock","1000 VND","Phụ kiện iphone 4S",""
"152","Sạc dự phòng Xiaomi 10400 MAH chính hãng","sạc dự phòng xiaomi 10400 mah chính hãng","http://www.vietanhmobile.com/sac-du-phong-xiaomi-10400-mah-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-10400-chính-hãng-main.jpg","new","out of stock","690000 VND","Pin Dự Phòng",""
"153","Sạc dự phòng Xiaomi 5000 MAH chính hãng","sạc dự phòng xiaomi 5000 mah chính hãng","http://www.vietanhmobile.com/sac-du-phong-xiaomi-5000-mah-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-5000-chính-hãng-main.jpg","new","out of stock","340000 VND","Pin Dự Phòng",""
"154","Sạc Dự Phòng Xiaomi Chính Hãng 10000mAh","sạc dự phòng xiaomi chính hãng 10000mah","http://www.vietanhmobile.com/sac-du-phong-xiaomi-chinh-hang-10000mah.html","http://www.vietanhmobile.com/hinh-anh/san-pham/pin-du-phong-xiaomi-5000-mah-side-1.jpg","new","out of stock","490000 VND","Pin Dự Phòng",""
"155","Sạc Dự Phòng Xiaomi Chính Hãng 16000mAh","sạc dự phòng xiaomi chính hãng 16000mah","http://www.vietanhmobile.com/sac-du-phong-xiaomi-chinh-hang-16000mah.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-16000-chính-hãng-main.jpg","new","out of stock","690000 VND","Pin Dự Phòng",""
"240","Tai nghe Bluetooth Xiaomi Chính Hãng","tai nghe bluetooth xiaomi chính hãng","http://www.vietanhmobile.com/tai-nghe-bluetooth-xiaomi-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-bluetooth-xiaomi-chinh-hang-side-1.jpg","new","out of stock","699000 VND","Phụ Kiện Xiaomi",""
"157","Sạc Dự Phòng Romoss Chính Hãng 10400mAh","sạc dự phòng romoss chính hãng 10400mah","http://www.vietanhmobile.com/sac-du-phong-romoss-chinh-hang-10400mah.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Romoss-10400-chính-hãng-main.jpg","new","out of stock","390000 VND","Pin Dự Phòng",""
"158","Ổ cắm điện Xiaomi Mi Power Strip Chính Hãng","ổ cắm điện xiaomi mi power strip chính hãng","http://www.vietanhmobile.com/o-cam-dien-xiaomi-mi-power-strip-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/o-cam-dien-xiaomi-mi-power-strip-slide-1.jpg","new","out of stock","390000 VND","Phụ Kiện Xiaomi",""
"159","Sạc Dự Phòng Romoss Chính Hãng 20800mAh","sạc dự phòng romoss chính hãng 20800mah","http://www.vietanhmobile.com/sac-du-phong-romoss-chinh-hang-20800mah.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Romoss-20800-chính-hãng-main.jpg","new","out of stock","790000 VND","Pin Dự Phòng",""
"160","Cục sạc iCharger 12 Romoss 2USB ( Sạc Ipad & Iphone )","cục sạc icharger 12 romoss 2usb ( sạc ipad & iphone )","http://www.vietanhmobile.com/cuc-sac-icharger-12-romoss-2usb-sac-ipad-iphone.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sac-icharger-12-romoss-2-usb-side-1.jpg","new","out of stock","350000 VND","Sạc USB",""
"161","Cáp sạc từ Sony  chính hãng","cáp sạc từ sony  chính hãng","http://www.vietanhmobile.com/cap-sac-tu-sony-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Cáp-sạc-từ-Sony-chính-hãng-main.jpg","new","out of stock","250000 VND","Sạc USB",""
"162","Sạc Sony Ep880 Chính Hãng","sạc sony ep880 chính hãng ","http://www.vietanhmobile.com/sac-sony-ep880-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sac-sony-ep880-chinh-hang-side-1.jpg","new","out of stock","250000 VND","Sạc USB",""
"163","Cáp sạc chính hãng Sony EC801","cáp sạc chính hãng sony ec801","http://www.vietanhmobile.com/cap-sac-chinh-hang-sony-ec801.html","http://www.vietanhmobile.com/hinh-anh/san-pham/cáp-sạc-usb-ec801-chính-hãng-main.jpg","new","out of stock","150000 VND","Sạc USB",""
"164","Dock sạc Sony chính hãng","dock sạc sony chính hãng","http://www.vietanhmobile.com/dock-sac-sony-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/dock-sac-sony-chinh-hang-main.jpg","new","out of stock","490000 VND","Sạc USB",""
"165","Sạc pin 4 cổng usb HOCO travel","sạc pin 4 cổng usb hoco travel ","http://www.vietanhmobile.com/sac-pin-4-cong-usb-hoco-travel.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sac-pin-4-cong-usb-hoco-side-1.jpg","new","out of stock","350000 VND","Sạc USB",""
"166","Củ sạc nhanh Nillkin 2A chính hãng","củ sạc nhanh nillkin 2a chính hãng","http://www.vietanhmobile.com/cu-sac-nhanh-nillkin-2a-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Củ-sạc-nhanh-nillkin-2A-chính-hãng-main.jpg","new","out of stock","310000 VND","Sạc USB",""
"167","Sạc không dây Nillkin chính hãng","sạc không dây nillkin chính hãng","http://www.vietanhmobile.com/sac-khong-day-nillkin-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-không-dây-Nillkin-chính-hãng-side1.jpg","new","out of stock","810000 VND","Sạc USB",""
"168","Cáp sạc Remax chính hãng cho HTC/SAMSUNG","cáp sạc remax chính hãng cho htc/samsung","http://www.vietanhmobile.com/cap-sac-remax-chinh-hang-cho-htc-samsung.html","http://www.vietanhmobile.com/hinh-anh/san-pham/cáp-sạc-Remax-chính-hãng-main.jpg","new","out of stock","180000 VND","Sạc USB",""
