"id","title","description","product_type","link","image_link","condition","availability","price","sale_price","sale_price_effective_date","brand"
"389","iPad Mini 3 64GB + 4G Màu Trắng (Silver) Hàng Trưng Bày","ipad mini 3 64gb + 4g màu trắng (silver)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-3-64gb-4g-mau-trang-silver-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-3-64gb-4g-silver-99-slide.jpg","new","in stock","6390000","","","iPad Mini 3"
"390","iPad Mini 3 64GB + 4G Màu Đen (Gray)  Hàng Trưng Bày","ipad mini 3 64gb + 4g màu đen (gray)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-3-64gb-4g-mau-den-gray-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-3-64gb-4g-gray-99-silde-1.jpg","new","in stock","6190000","","","iPad Mini 3"
"391","iPad Mini 3 64GB + 4G Màu Vàng (Gold)  Hàng Trưng Bày","ipad mini 3 64gb + 4g màu vàng (gold)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-3-64gb-4g-mau-vang-gold-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-3-64gb-4g-gold-99-slide.jpg","new","in stock","6590000","","","iPad Mini 3"
"411","SamSung Galaxy S4 32GB Màu Đen Quốc Tế Nhật Hàng Trưng Bày","Samsung galaxy s4 32gb màu đen quốc tế nhật qsd 99%","Product","https://www.vietanhmobile.com/samsung-galaxy-s4-32gb-mau-den-quoc-te-nhat-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s4-japan-world-32gb-99-slide-1.jpg","new","in stock","2590000","","","Samsung S4"
"412","SamSung Galaxy Note 4 32GB Màu Đồng Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy note 4 32gb màu đồng quốc tế mỹ qsd 99%","Product","https://www.vietanhmobile.com/samsung-galaxy-note-4-32gb-mau-dong-quoc-te-my-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-note-4-copper-usa-99-slide-1.jpg","new","in stock","6290000","","","Samsung Note 4"
"423","Kính thực tế ảo VR Shinecon Màu Đen ( Black )","kính thực tế ảo vr shinecon màu đen ( black )","Product","https://www.vietanhmobile.com/kinh-thuc-te-ao-vr-shinecon-mau-den-black.html","https://www.vietanhmobile.com/hinh-anh/san-pham/kinh-thuc-te-ao-VR-Shinecon-100-slide-1.jpg","new","in stock","439000","","","Kính 3D"
"424","Kính thực tế ảo VR Box 2","kính thực tế ảo vr box 2","Product","https://www.vietanhmobile.com/kinh-thuc-te-ao-vr-box-2.html","https://www.vietanhmobile.com/hinh-anh/san-pham/kinh-thuc-te-ao-vr-box-2-100-slide-1.jpg","new","in stock","239000","","","Kính 3D"
"428","HTC One M8 32GB Màu Vàng Quốc Tế Hàng Trưng Bày","htc one m8 32gb màu vàng quốc tế qsd 99%","Product","https://www.vietanhmobile.com/htc-one-m8-32gb-mau-vang-quoc-te-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ht-one-m8-32gb-gold-world-99-slide-1.jpg","new","in stock","3390000","","","HTC"
"431","SamSung Galaxy S6 Edge 32GB Màu Đen Quốc Tế Mỹ Hàng Trưng Bày","samsung galaxy s6 edge 32gb màu đen quốc tế mỹ qsd 99%","Product","https://www.vietanhmobile.com/samsung-galaxy-s6-edge-32gb-mau-den-quoc-te-my-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-edge-32gb-black-world-99-slide-1.jpg","new","in stock","7690000","","","Samsung S6 Edge"
"432","SamSung Galaxy S6 Edge 32GB Màu Trắng Quốc Tế Mỹ Hàng Trưng Bày","samsung galaxy s6 edge 32gb màu trắng quốc tế mỹ qsd 99%","Product","https://www.vietanhmobile.com/samsung-galaxy-s6-edge-32gb-mau-trang-quoc-te-my-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-edge-32gb-white-world-99-slide-1.jpg","new","in stock","7690000","","","Samsung S6 Edge"
"433","SamSung Galaxy S6 Edge 32GB Màu Vàng Quốc Tế Mỹ Hàng Trưng Bày","samsung galaxy s6 edge 32gb màu vàng quốc tế mỹ qsd 99%","Product","https://www.vietanhmobile.com/samsung-galaxy-s6-edge-32gb-mau-vang-quoc-te-my-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-edge-32gb-gold-world-99-slide-1.jpg","new","in stock","7990000","","","Samsung S6 Edge"
"437","iPad Air 2 64GB + 4G Màu Xám ( Gray ) Hàng Trưng Bày","ipad air 2 64gb + 4g màu xám ( gray ) qsd 99%","Product","https://www.vietanhmobile.com/ipad-air-2-64gb-4g-mau-xam-gray-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-64gb-gray-99-slide-1.jpg","new","in stock","10190000","","","iPad Air 2"
